,prov,soum,year,var,sd,mean,m
300,Dundgovi,Undurshil,2021,vol,0.877334501,15.08578684,0.840025278
301,Dundgovi,Saikhan_O,2021,cover,4.869789973,59.84296268,0.855821269
302,Dundgovi,Saikhan_O,2021,ht,0.497809753,6.640691771,0.767925768
303,Dundgovi,Saikhan_O,2021,vol,2.356703167,15.95685491,0.806767905
304,Dundgovi,Saintsag,2021,cover,2.737572967,54.44699189,0.855038874
305,Dundgovi,Saintsag,2021,ht,0.39622479,6.83909288,0.714775803
306,Dundgovi,Saintsag,2021,vol,1.509573198,14.91973143,0.802452559
307,Dundgovi,Tsagaan,2021,cover,4.623762801,60.43055131,0.865511906
308,Dundgovi,Tsagaan,2021,ht,0.75910395,7.209330798,0.709117172
309,Dundgovi,Tsagaan,2021,vol,3.04318371,17.49272635,0.772400126
310,Govisümber,Bayantal,2021,cover,3.018415789,65.61433377,0.850603316
311,Govisümber,Bayantal,2021,ht,0.81416785,7.476086551,0.777728201
312,Govisümber,Bayantal,2021,vol,2.975339492,19.6792615,0.802645722
313,Govisümber,Shiveegovi,2021,cover,3.21585058,56.83804745,0.839161305
314,Govisümber,Shiveegovi,2021,ht,0.46902359,7.174143273,0.647075201
315,Govisümber,Shiveegovi,2021,vol,1.887437769,16.3340613,0.743588114
316,Govisümber,SumberG,2021,cover,5.956714254,64.58654259,0.929974788
317,Govisümber,SumberG,2021,ht,1.09741754,7.905035374,0.896861806
318,Govisümber,SumberG,2021,vol,4.601780302,20.649816,0.915697316
319,Töv,Altanbulag,2021,cover,4.598680282,69.77019539,0.872601954
320,Töv,Altanbulag,2021,ht,1.372995193,8.991829871,0.829988364
321,Töv,Altanbulag,2021,vol,5.301012255,25.2604012,0.837579021
322,Töv,Argalant,2021,cover,4.225863289,72.99111713,0.846520064
323,Töv,Argalant,2021,ht,1.218577992,9.839689045,0.795091841
324,Töv,Argalant,2021,vol,5.084517694,28.90815345,0.808686207
325,Töv,Arkhust,2021,cover,3.074646851,70.79308193,0.898975474
326,Töv,Arkhust,2021,ht,1.135041014,9.57182658,0.847472315
327,Töv,Arkhust,2021,vol,4.174843369,27.31532838,0.859761583
328,Töv,Batsumber,2021,cover,4.495021186,78.16799985,0.822957762
329,Töv,Batsumber,2021,ht,1.350363296,11.22157621,0.721302984
330,Töv,Batsumber,2021,vol,6.076320763,35.17470557,0.745348244
331,Töv,Bayan,2021,cover,3.780729488,66.57663365,0.870296374
332,Töv,Bayan,2021,ht,1.153175796,7.903982822,0.798427503
